Market City1,Location #,Street Address: ,Market City,State,Zip: ,Tech: ,E-Mail
Birmingham,18616656,950 22nd St N Suite 850,Birmingham,AL,35203,Barry Bradford/David Westmeyer,WCI.Field.Ops.CLEC.Southeast.Local.Mgr.Birmingham@windstream.com
Mobile,18479105,"3100 Cottage Hill Road Building 5, Suite 500",Mobile,AL,36606,Kenn Harris and Ben Hurst/Jeff Burns,Jeffery.Burns@windstream.com or WCI.Field.Ops.CLEC.Gulf.Coast@windstream.com
Little Rock ,60011511,5150 Northshore Lane,North Little Rock,AR,72118,Bradly Walters/Bruce Queen,Bradly.Walters@windstream.com & Bruce.Queen@windstream.com
,,1406 S Walton Blvd,Bentonville,AR,,,
,,202 Graham Street,Harrison,AR,,,
Phoenix,18545785,1710 E. Grant St Suite 165,Phoenix,AZ,85034,Don Springer ,WCI.-.Phoenix.Switch@windstream.com
Anaheim (Southern California),18545786,2441 West LaPalma Avenue  Suite 501,Anaheim ,CA,92801,Erwin Gil/Wesley Nouchi,WCI.Anaheim.Switch@windstream.com
Oakland,18545791,427 14th Street,Oakland,CA,94612,Mark Marion Smith/Larry Galdeano,WCI.Oakland.Switch@windstream.com
Colorado Springs,18545798,1780 Jet Stream Dr,Colorado Springs,CO,80921,Doug Musich,WCI.field.Ops.CLEC.Colorado@windstream.com
"Denver (also handles Cheyenne, WY)",18545800,2975 Walnut St,Denver,CO,80205,Doug Neathammer,WCI.field.Ops.CLEC.Colorado@windstream.com
Destin,18479086,185 A Stahlman Ave,Destin,FL,32541,Rick Ludlum/Jeff Burns,Jeffery.Burns@windstream.com or WCI.Field.Ops.CLEC.Gulf.Coast@windstream.com
Fort Lauderdale,18698542,5601 NW Powerline Road Suite 106,Fort Lauderdale,FL,33309,Sam Sasson/Michael A. Fields,sam.sasson@windstream.commichael.fields@windstream.com/WCI.Field.Ops.CLEC.Florida.FT.Lauderdale.BSTs@windstream.com
Fort Myers,18479087,Royal Palm Commons 1610 Royal Palm Avenue,Fort Myers,FL,33901,Robert Francis/Michael A. Fields,WCI.Field.Ops.CLEC.Florida.FT.Myers.BSTs@windstream.com
Jacksonville,18479094,421 W Church Street Suite 103,Jacksonville,FL,32202,Gary Diaz/Ken Rudolph/Cecil D Brown,WCI.Field.OPS.CLEC.Florida.Jacksonville@windstream.com
Miami ,18479104,18504 NE 5th Ave,Miami,FL,33179,Emiliano Santiago/Michael Fields,WCI.Field.Ops.CLEC.Florida.Miami.BST's@windstream.com
Orlando (Maitland),18545816,258 Southhall Lane Suite 330,Maitland,FL,32751,James (Luke) Small/Greg Benge-LM,WCI.Field.Ops.CLEC.Florida.Orlando@windstream.com
Sarasota (Ships to Tampa),18479115,515 US Highway 301 South,Tampa,FL,33619,Brad Reed/Keith Tulk,WCI.Field.Ops.CLEC.Florida.Tampa.All@windstream.com
Tampa,18479115,515 US Highway 301 South,Tampa,FL,33619,Brad Reed/Keith Tulk,WCI.Field.Ops.CLEC.Florida.Tampa.All@windstream.com
West Palm Beach (Palm Beach Gardens),18479117,7121 Fairway Drive Suite 104,West Palm Beach,FL,33418,"Herb Cameron/Ismael ""Izzy"" Custodio",WCI.Field.Ops.CLEC.Florida.West.Palm@windstream.com
Winter Haven (now ships to Tampa as of 4/28/16),18479115,515 US Highway 301 South,Tampa,FL,33619,Brad Reed/Keith Tulk,WCI.Field.Ops.CLEC.Florida.Tampa.All@windstream.com
Atlanta ,18479075,2700 Northeast Expressway Suite B-900,Atlanta,GA,30345,Jesse Holmes /Jeremy Warren/Ralph Moore,Jesse.Holmes@windstream.com & Jeremy.Warren@windstream.com
Cedar Rapids *(also handles Cedar Rapids/Waterloo/Iowa City/Waverly/Coralville/Marion),18729595,221 3rd Ave SE  Suite 500,Cedar Rapids,IA,52404,Ron Clark,WIN.Cedar.Rapids.Switch@windstream.com
Davenport,18545829,5617 W Locust St,Davenport,IA,52804,Chad McDaniel/Jamie Weckel, WCI.Field.Ops.CLEC.North.Central.Illinois@windstream.com
Des Moines,18545830,3540 SW 61 Street,Des Moines,IA,50321,Douglas Root,WCI.Des.Moines.Switch@windstream.com
Dubuque,18545831,3501 Digital Drive,Dubuque,IA,52003,Ron Provencher/Ron Clark,WIN.Dubuque.Switch@windstream.com
Sioux City,18643493,(Holdover) 2828 Hamilton Blvd,Sioux City,IA,51104,Garret Lefebvre,WCI.FIELD.OPS.CLEC.WESTERNIA@windstream.com
Boise,18545839,314 S. 6th St,Boise,ID,83702,Sean A. Orlob,WCI.-.Boise.Switch@windstream.com
Bloomington,18512495,13 Minks Ct,Bloomington,IL,61704,Chris Reeser,WCI.Field.Ops.CLEC.Central.Southern.IL@windstream.com
Champaign,18517305,484 County Road 2500 N,Mahomet,IL,61853,Jeremy Rexroad,WCI.Field.Ops.CLEC.Central.Southern.IL@windstream.com
Chicago *INSIDE DELIVERY REQUIRED ,18545841,427 S. LaSalle St.  Suite 700,Chicago,IL,60605,Dwayne Fitzpatrick/Efrain Ruiz,WIN.Chicago.Switch.LaSalle@windstream.com
Peoria,18545847,211B SW Adams St,Peoria,IL,61602,Michael Raydon,WCI.Field.Ops.CLEC.Central.Southern.IL@windstream.com
Rockford,18699496,3470 Colony Bay Drive,Rockford,IL,61109,Barb Gustafson/Adam Vickery, WCI.Field.Ops.CLEC.North.Central.Illinois@windstream.com
"Springfield, IL ",18545850,528 S. 5th Street,Springfield,IL,62701,Jess Woodard,WCI.Field.Ops.CLEC.Central.Southern.IL@windstream.com
Fort Wayne,18690968,1408 W. Orchard Dr.,North Manchester,IN,46962,Jake Longanecker,Jacob.Longanecker@windstream.com & Christopher.A.Johnson@windstream.com
"Gary (Portage, IN)",18512486,2311 Longcommon Rd.,Portage,IN,46368,Brett Sloan,Brett.Sloan@windstream.com & Christopher.A.Johnson@windstream.com
Indianapolis (Fishers uses this location also) - actual switch site,18479092,701 W. Henry St.  Suite 102,Indianapolis,IN,46220,John (Dave) Everett /Christopher A Johnson,WCI.Field.Ops.CLEC.IN.Indianapolis.All@windstream.com
"Lafayette, IN (also handles Kokomo)",18479092,701 W. Henry St.  Suite 102,Indianapolis,IN,46220,John (Dave) Everett /Christopher A Johnson,WCI.Field.Ops.CLEC.IN.Indianapolis.All@windstream.com
Evansville (actual switch) ,18532083,201 NW 4th St Suite 109,Evansville,IN ,47708,Robert Warrender/David Virgin,WCI.Field.OPS.CLEC.IN.Evansville.All@windstream.com
Terre Haute ,18517310,6224 E CO RD 750s,Carlisle ,IN ,47838,Tom Hathaway,Rodney.Hathaway@windstream.com & Christopher.A.Johnson@windstream.com
Kansas City,18479096,7945 Bond Street,Lenexa,KS,66214,Billy Bob Breeden,WCI.Field.Ops.CLEC.Kansas.City@windstream.com
Wichita,18479118,8200 E 34th Circle N  Suite 1010,Wichita,KS,67226,Robert Blinzler/Billy Bob Breeden,WCI.Field.Ops.Wichita.CLEC.All@windstream.com
Bowling Green,18518304,7194 Tompkinsville Rd  Attn: Joe Wyatt,Glasgow,KY,42141,Joe Wyatt/Timothy Gibson,Joe.Wyatt@windstream.com & Timothy.Gibson@windstream.com
Louisville,18609745,Six Corporate Center Suite 100 9780 Ormsby Station Road,Louisville,KY,40223,Amber Martin/Mark Allen Main,WCI.Field.Ops.Louisville@windstream.com
Louisville (VOX),18479100,620 S 3rd Street  Suite 105,Louisville,KY,40202,Amber Martin/Jeff Trout,WCI.Field.Ops.Louisville@windstream.com
