S NO,PSR,Loaded Time,Completed Time,Task Type,Exception Time,Exception Reason,Worktime,Status
1,7095262,5/30/2018 5:21:38 PM,6/1/2018 6:19:37 PM,WSC_INST, ,,0.00:03:47,Success
2,7083740,5/21/2018 5:53:10 PM,6/1/2018 4:08:18 PM,WSC_INST, ,,0.00:16:37,Success
3,7096134,5/30/2018 5:34:57 PM,6/1/2018 6:22:36 PM,WSC_INST, ,,0.00:03:46,Success
4,7095661,5/29/2018 4:15:58 PM,6/1/2018 4:17:17 PM,WSC_INST, ,,0.00:07:03,Success
5,7095899,5/29/2018 5:49:48 PM,6/1/2018 5:11:40 PM,WSC_INST, ,,0.00:04:06,Success
6,7095890,5/30/2018 5:09:55 PM,6/1/2018 6:10:24 PM,WSC_INST, ,,0.00:03:33,Success
7,7095646,5/29/2018 6:27:36 PM,6/1/2018 5:24:20 PM,WSC_INST, ,,0.00:04:07,Success
8,7096270,5/30/2018 4:17:16 PM,6/1/2018 5:58:12 PM,WSC_INST, ,,0.00:05:38,Success
9,7095832,5/29/2018 6:22:59 PM,6/1/2018 5:21:35 PM,WSC_INST, ,,0.00:04:04,Success
10,7095727,5/29/2018 6:36:52 PM,6/1/2018 5:28:46 PM,WSC_INST, ,,0.00:04:11,Success
11,7096155,5/30/2018 4:08:31 PM,6/1/2018 5:52:19 PM,WSC_INST, ,,0.00:03:37,Success
12,7096313,5/30/2018 3:56:22 PM,6/1/2018 5:42:45 PM,WSC_INST, ,,0.00:03:40,Success
13,7086420,5/29/2018 5:40:46 PM,6/1/2018 5:06:20 PM,WSC_INST, ,,0.00:04:09,Success
14,7095292,5/30/2018 5:14:34 PM,6/1/2018 6:13:27 PM,WSC_INST, ,,0.00:03:44,Success
15,7088334,5/18/2018 5:48:28 PM,6/1/2018 4:00:03 PM,WSC_INST, ,,0.00:17:33,Success
16,7096918,5/30/2018 5:45:38 PM,6/1/2018 6:29:39 PM,WSC_INST, ,,0.00:05:00,Success
17,7096059,5/29/2018 5:45:15 PM,6/1/2018 5:09:00 PM,WSC_INST, ,,0.00:04:03,Success
18,7096786,5/30/2018 6:23:10 PM,6/1/2018 6:35:28 PM,WSC_INST, ,,0.00:03:36,Success
19,7088168,5/18/2018 7:22:59 PM,6/2/2018 12:28:56 AM,WSC_INST, ,,0.00:17:29,Success
20,7095388,5/30/2018 5:38:57 PM,6/1/2018 6:26:49 PM,WSC_INST, ,,0.00:05:04,Success
21,7096278,5/30/2018 3:51:51 PM,6/1/2018 5:39:51 PM,WSC_INST, ,,0.00:03:30,Success
22,7096128,5/30/2018 4:28:05 PM,6/1/2018 6:02:52 PM,WSC_INST, ,,0.00:03:35,Success
23,7095896,5/29/2018 6:00:37 PM,6/1/2018 5:14:21 PM,WSC_INST, ,,0.00:04:09,Success
24,7090339,5/21/2018 3:23:51 PM,6/1/2018 4:06:14 PM,WSC_INST, ,,0.00:16:12,Success
25,7090351,5/21/2018 3:18:30 PM,6/1/2018 4:04:09 PM,WSC_INST, ,,0.00:16:10,Success
26,7095751,5/29/2018 4:20:30 PM,6/1/2018 4:20:03 PM,WSC_INST, ,,0.00:06:58,Success
27,7096065,5/30/2018 4:04:37 PM,6/1/2018 5:49:32 PM,WSC_INST, ,,0.00:03:28,Success
28,7095959,5/30/2018 5:05:55 PM,6/1/2018 6:07:32 PM,WSC_INST, ,,0.00:03:33,Success
29,7095640,5/29/2018 4:12:20 PM,6/1/2018 4:14:34 PM,WSC_INST, ,,0.00:04:58,Success
30,7096064,5/30/2018 3:59:59 PM,6/1/2018 5:46:50 PM,WSC_INST, ,,0.00:04:49,Success
31,7097034,5/30/2018 6:19:36 PM,6/1/2018 6:32:31 PM,WSC_INST, ,,0.00:03:30,Success
32,7096156,5/30/2018 4:12:18 PM,6/1/2018 5:55:18 PM,WSC_INST, ,,0.00:03:48,Success
33,7095950,5/29/2018 6:11:30 PM,6/1/2018 5:18:50 PM,WSC_INST, ,,0.00:07:29,Success
34,7095780,5/30/2018 6:32:55 PM,6/1/2018 6:38:18 PM,WSC_INST, ,,0.00:03:31,Success
35,7061142,5/30/2018 3:37:59 PM,6/1/2018 5:31:33 PM,DBWLBKUP, ,,0.00:03:26,Success
36,7059498,5/30/2018 3:42:06 PM,6/1/2018 5:34:19 PM,DBWLBKUP, ,,0.00:03:25,Success
37,7061045,5/30/2018 3:46:14 PM,6/1/2018 5:37:05 PM,DBWLBKUP, ,,0.00:03:29,Success
38,7059961,5/30/2018 5:17:58 PM,6/1/2018 6:16:35 PM,DBWLBKUP, ,,0.00:03:52,Success
39,7043799,5/30/2018 7:56:51 PM,6/1/2018 6:41:22 PM,DBWLBKUP, ,,0.00:03:46,Success
